location,symbol,unit,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
"Birmingham, AL",TAN,°F,35,37.5,44.1,51.7,60.6,68.1,71.7,71.1,64.7,53.3,43.3,36.7,53.2
"Birmingham, AL",TAX,°F,53.7,57.8,65.9,73.9,80.9,86.8,90,89.8,84.5,74.7,64.2,55.3,73.1
"Birmingham, AL",V,mi/hr,7.2,7.4,7.8,7.4,6.3,5.4,5.1,4.7,5.4,5.4,6,6.7,6.3
"Birmingham, AL",I,Btu/ft2/day,769,1013,1382,1720,1884,1928,1889,1760,1504,1212,890,699,1388
"Birmingham, AL",PA,lb/in2,,,,,,,,,,,,,14.37
"Huntsville, AL",TAN,°F,32.7,35.2,42.1,50.6,59.6,67.2,70.3,69.2,62.6,51.1,41.2,34.5,51.4
"Huntsville, AL",TAX,°F,50.3,54.4,63.1,72.3,79.9,86.3,88.9,89.2,83.7,73.4,61.6,52.1,71.3
"Huntsville, AL",V,mi/hr,8.3,8.3,8.9,8.5,7.4,5.8,4.9,4.9,5.8,6.3,7.2,7.8,7.2
"Huntsville, AL",I,Btu/ft2/day,714,949,1314,1690,1868,1973,1948,1823,1508,1191,835,656,1372
"Huntsville, AL",PA,lb/in2,,,,,,,,,,,,,14.36
"Mobile, AL",TAN,°F,41.4,43.8,49.7,56.3,64.7,71,73.3,73.1,68.9,58.4,48.3,42.4,57.6
"Mobile, AL",TAX,°F,60.8,64.2,70.4,76.7,84,88.3,90.1,89.9,86.4,78.5,69.5,62.1,76.7
"Mobile, AL",V,mi/hr,8.5,8.5,8.7,8.3,7.4,6,5.4,5.4,6.7,6.9,7.2,7.8,7.2
"Mobile, AL",I,Btu/ft2/day,865,1114,1446,1774,1955,1925,1876,1767,1557,1304,1024,818,1452
"Mobile, AL",PA,lb/in2,,,,,,,,,,,,,14.58
"Montgomery, AL",TAN,°F,37.1,39.9,46.1,52.6,61.8,68.9,72.2,71.7,66.2,54.4,44,38,54.4
"Montgomery, AL",TAX,°F,57.7,62,69.4,76.6,83.9,89.4,91.8,91.5,86.9,77.7,67.9,59.1,76.2
"Montgomery, AL",V,mi/hr,7.2,7.4,7.6,6.5,5.8,4.9,4.7,4.7,5.6,5.4,5.8,6.7,6
"Montgomery, AL",I,Btu/ft2/day,823,1076,1421,1766,1952,1951,1943,1781,1530,1223,950,749,1430
"Montgomery, AL",PA,lb/in2,,,,,,,,,,,,,14.59
"Phoenix, AZ",TAN,°F,46.5,49.5,54,60.1,69.8,78.1,84.3,83.4,78.1,65.4,53.3,45.6,64
"Phoenix, AZ",TAX,°F,66.7,69.8,76.1,83.6,93.8,102.6,105.4,103.6,99.6,87.8,75.1,65.6,85.8
"Phoenix, AZ",V,mi/hr,4.9,5.6,6.3,6.9,6.9,6.7,6.9,6.7,6,5.6,4.9,4.7,6
"Phoenix, AZ",I,Btu/ft2/day,1058,1335,1774,2248,2495,2606,2379,2144,1910,1542,1172,967,1802
"Phoenix, AZ",PA,lb/in2,,,,,,,,,,,,,14.11
"Prescott, AZ",TAN,°F,26.8,29.5,33.5,38.9,48,55.9,63.3,61.9,54.9,42.7,32.3,26.2,42.8
"Prescott, AZ",TAX,°F,51.4,54.4,60,66.4,76.5,85.6,89.2,86.5,82.2,71.4,60.1,51.1,69.6
"Prescott, AZ",V,mi/hr,6.5,7.2,8.1,8.9,8.7,8.7,7.4,6.7,6.9,6.9,6.5,6.3,7.4
"Prescott, AZ",I,Btu/ft2/day,982,1245,1694,2156,2415,2571,2171,1903,1805,1493,1130,901,1705
"Prescott, AZ",PA,lb/in2,,,,,,,,,,,,,12.24
"Tucson, AZ",TAN,°F,40.7,43.1,47,52.4,61.6,70.4,75.7,74.4,70.1,58.4,47,40,56.8
"Tucson, AZ",TAX,°F,65.8,68.4,74.2,81.7,91.7,99.9,99.6,97.3,94.7,85.1,74.1,65,83.1
"Tucson, AZ",V,mi/hr,6.9,7.4,7.8,8.3,8.1,8.1,7.8,7.4,7.6,7.6,7.2,6.9,7.6
"Tucson, AZ",I,Btu/ft2/day,1110,1370,1840,2279,2510,2582,2198,2007,1886,1595,1249,1033,1805
"Tucson, AZ",PA,lb/in2,,,,,,,,,,,,,13.4
"Fort Smith, AR",TAN,°F,30.7,34.3,41.8,50.5,60.4,68.4,72.4,71.4,63,51.6,41,32.8,51.5
"Fort Smith, AR",TAX,°F,49.4,55.3,63.7,73,79.8,87.1,92.3,92.8,84.4,74.3,61.8,51.6,72.1
"Fort Smith, AR",V,mi/hr,7.6,8.1,8.7,8.3,6.9,6,5.4,5.6,6,6.3,7.2,7.6,6.9
"Fort Smith, AR",I,Btu/ft2/day,738,977,1299,1674,1808,1991,2117,1918,1522,1177,811,674,1392
"Fort Smith, AR",PA,lb/in2,,,,,,,,,,,,,14.46
"Little Rock, AR",TAN,°F,33.3,36.3,43.8,52.4,61.6,69.7,73.2,72.2,64.4,53.1,42.9,35,53.2
"Little Rock, AR",TAX,°F,50.6,55.5,63.7,73.1,80.8,88.1,91.8,92.2,84.9,74.4,62.1,52.3,72.5
"Little Rock, AR",V,mi/hr,7.8,7.8,8.7,8.5,7.2,6.3,6,5.6,6.3,6,7.2,7.6,7.2
"Little Rock, AR",I,Btu/ft2/day,717,970,1302,1686,1820,2008,2009,1879,1534,1171,814,656,1380
"Little Rock, AR",PA,lb/in2,,,,,,,,,,,,,14.56
"Arcata, CA",TAN,°F,40.7,41.4,41.1,42.4,46,48.4,51.4,51.4,48.3,45.1,42.5,40.2,44.9
"Arcata, CA",TAX,°F,55.1,55.6,55.5,56.2,58.9,61.1,62.2,63.2,63.2,61.9,57.5,54.9,58.8
"Arcata, CA",V,mi/hr,6.7,6.7,7.2,7.2,7.2,7.2,6,5.6,5.1,5.4,5.8,6.9,6.3
"Arcata, CA",I,Btu/ft2/day,527,730,1139,1516,1822,1946,1809,1573,1327,971,613,460,1203
"Arcata, CA",PA,lb/in2,,,,,,,,,,,,,14.59
"Bakersfield, CA",TAN,°F,40.3,43.7,46.9,49.8,57.8,64.2,70.7,69.3,64.5,55.3,45.3,39.7,54
"Bakersfield, CA",TAX,°F,56.9,62.9,69,74.1,83.3,90.6,96.9,95.7,90.4,79,65.7,57.3,76.8
"Bakersfield, CA",V,mi/hr,4.9,5.6,6,6.9,7.4,7.6,6.9,6.7,6,5.4,4.7,4.9,6
"Bakersfield, CA",I,Btu/ft2/day,717,1031,1543,2010,2358,2570,2500,2293,1911,1411,952,696,1666
"Bakersfield, CA",PA,lb/in2,,,,,,,,,,,,,14.43
"Bishop, CA",TAN,°F,24,27.4,32.1,36.8,45.1,51.9,57.7,54.8,47.6,38.5,28.3,22.9,38.9
"Bishop, CA",TAX,°F,53,56.2,64.5,70.5,80.8,90.4,97.5,95.5,87.6,75.2,61.9,52.5,73.8
"Bishop, CA",V,mi/hr,7.2,8.1,9.4,10.1,9.2,8.3,7.8,8.1,7.6,7.8,7.4,6.9,8.1
"Bishop, CA",I,Btu/ft2/day,882,1186,1683,2080,2378,2564,2487,2278,1925,1457,1046,824,1732
"Bishop, CA",PA,lb/in2,,,,,,,,,,,,,12.68
"Daggett, CA",TAN,°F,37.5,41.2,46.2,51.3,60.6,68,74.7,73.6,66.5,55.3,43.2,36.1,54.5
"Daggett, CA",TAX,°F,60.8,64.4,71.7,78.3,88.9,98,104.6,103.1,95.7,82.5,69.1,59.6,81.4
"Daggett, CA",V,mi/hr,8.1,9.4,11.4,13.9,14.1,13.6,11.6,11,10.1,9.6,8.5,7.6,10.7
"Daggett, CA",I,Btu/ft2/day,992,1270,1756,2197,2492,2656,2470,2259,1972,1544,1142,921,1806
"Daggett, CA",PA,lb/in2,,,,,,,,,,,,,13.71
"Fresno, CA",TAN,°F,39.9,43.1,46.5,49.6,56.9,62.4,68.3,66.7,62.2,53.7,44.6,39.4,52.8
"Fresno, CA",TAX,°F,55,61.1,67.4,73.1,83.2,90.9,97.7,96.3,90.7,78.5,64.7,55.1,76.1
"Fresno, CA",V,mi/hr,4.3,5.1,5.8,7.4,8.3,8.5,7.6,6.9,6,4.7,4,4.3,6
"Fresno, CA",I,Btu/ft2/day,638,973,1519,2002,2368,2573,2534,2290,1895,1383,889,602,1639
"Fresno, CA",PA,lb/in2,,,,,,,,,,,,,14.52
"Long Beach, CA",TAN,°F,47.6,49,51.5,53.6,58.2,61.4,64.7,65.3,63.5,58.8,51.8,46.8,56
"Long Beach, CA",TAX,°F,66.5,65.9,67.7,70.4,72.6,75.7,80.3,82.5,81,76,71.4,66,73
"Long Beach, CA",V,mi/hr,4.5,5.1,5.6,6.3,6,6,6,5.8,5.4,4.7,4.3,4.3,5.4
"Long Beach, CA",I,Btu/ft2/day,894,1109,1548,1958,2066,2207,2264,2156,1767,1327,1039,843,1598
"Long Beach, CA",PA,lb/in2,,,,,,,,,,,,,14.68
"Los Angeles AP, CA",TAN,°F,50,50.9,52.4,54.1,57.8,61,64,64.6,63.4,59.6,54,49.7,56.8
"Los Angeles AP, CA",TAX,°F,64.9,64.4,64.7,66.5,68.5,71,73.9,75.3,74.5,72.3,69.3,64.8,69.2
"Los Angeles AP, CA",V,mi/hr,6.5,7.6,8.1,8.7,8.1,8.1,8.1,7.6,7.4,6.7,6.3,6.5,7.4
"Los Angeles AP, CA",I,Btu/ft2/day,895,1115,1537,1988,2045,2140,2117,2037,1662,1298,1036,834,1559
"Los Angeles AP, CA",PA,lb/in2,,,,,,,,,,,,,14.63
"Redding, CA",TAN,°F,38.2,40.6,43.7,46.6,55,62,67,63.8,58.7,50.4,41.8,37.6,50.4
"Redding, CA",TAX,°F,55,58.3,64.9,69.6,80.4,89.3,98.1,96.2,90.4,77.1,62.5,54,74.7
"Redding, CA",V,mi/hr,5.8,6.5,6.7,6.7,6.7,6.9,6,5.6,5.4,5.6,4.9,6,6
"Redding, CA",I,Btu/ft2/day,577,856,1354,1772,2198,2464,2526,2246,1786,1209,721,497,1517
"Redding, CA",PA,lb/in2,,,,,,,,,,,,,14.43
"Sacramento, CA",TAN,°F,40,42.7,44.7,46.8,52.1,56.5,59.1,58.9,56.4,50.7,43.3,39.5,49.2
"Sacramento, CA",TAX,°F,54.3,59.6,65.4,70.3,79.3,86.1,91.4,90.9,87.4,77.1,63.8,54.4,73.3
"Sacramento, CA",V,mi/hr,5.6,6,6.7,7.4,7.6,8.1,7.6,6.9,5.8,5.4,4.9,5.8,6.5
"Sacramento, CA",I,Btu/ft2/day,563,877,1409,1891,2249,2510,2514,2239,1823,1269,790,518,1555
"Sacramento, CA",PA,lb/in2,,,,,,,,,,,,,14.68
"San Diego, CA",TAN,°F,50.1,51.6,53.9,56.2,59.8,62.3,65.4,66.9,65.4,61,54.4,49.5,58
"San Diego, CA",TAX,°F,64.5,64.3,65,66.6,67.9,70.1,73.4,75.6,75,72,68.6,64.2,68.9
"San Diego, CA",V,mi/hr,5.4,6.3,6.7,7.4,7.2,7.4,7.2,6.9,6.7,5.8,4.9,4.9,6.5
"San Diego, CA",I,Btu/ft2/day,990,1206,1604,1990,1993,2135,2127,2087,1774,1367,1107,922,1608
"San Diego, CA",PA,lb/in2,,,,,,,,,,,,,14.69
"San Francisco AP, CA",TAN,°F,45.2,47.2,48.3,49.4,52.2,54,55.8,56.6,56.2,53.9,49.4,45.6,51.1
"San Francisco AP, CA",TAX,°F,55.9,58.6,61.4,63.3,66.3,69.2,70.6,71.6,72.5,69.4,62.3,56.2,64.8
"San Francisco AP, CA",V,mi/hr,6.9,8.3,10.3,12.5,13.4,14.1,12.8,12.3,10.7,9.2,7.4,7.4,10.5
"San Francisco AP, CA",I,Btu/ft2/day,666,896,1353,1813,1981,2123,2023,1747,1488,1124,798,619,1386
"San Francisco AP, CA",PA,lb/in2,,,,,,,,,,,,,14.69
"Santa Barbara, CA",TAN,°F,41.9,44.6,46.8,48.2,52.1,54.8,57.9,58,56.3,51.7,45.4,41.1,49.9
"Santa Barbara, CA",TAX,°F,63.7,63.8,64.8,67.2,69,70.7,73.2,74.2,73.9,71.9,68.7,63.7,68.8
"Santa Barbara, CA",V,mi/hr,4.5,5.6,5.8,6.7,6.5,6,6,5.6,5.1,4.7,4.3,4.3,5.4
"Santa Barbara, CA",I,Btu/ft2/day,907,1116,1543,1968,2115,2184,2153,2107,1749,1346,1051,839,1590
"Santa Barbara, CA",PA,lb/in2,,,,,,,,,,,,,14.69
"Santa Maria, CA",TAN,°F,41.1,43,44.2,44.6,48.2,50.9,54,54.3,53,49.3,44,40.2,47.2
"Santa Maria, CA",TAX,°F,63.2,63.6,64.9,66.5,68.3,69.9,71.7,72.4,73.3,72.2,68.5,63.1,68.1
"Santa Maria, CA",V,mi/hr,6,6.7,7.6,8.3,8.3,7.8,6.5,6.3,5.8,6,6,6,6.7
"Santa Maria, CA",I,Btu/ft2/day,892,1109,1563,2010,2253,2358,2261,2111,1784,1386,1036,828,1633
"Santa Maria, CA",PA,lb/in2,,,,,,,,,,,,,14.56
"Stockton, CA",TAN,°F,39.5,42.2,44.3,47,52.8,57.6,60.9,60.4,57.5,50.9,43.1,38.9,49.6
"Stockton, CA",TAX,°F,54.5,60.4,66.5,71.7,80.6,87.8,93.4,92.3,88.5,78,64.6,54.7,74.4
"Stockton, CA",V,mi/hr,6.7,7.2,7.6,8.9,9.6,10.1,8.9,8.3,7.4,6.5,5.8,6.9,7.8
"Stockton, CA",I,Btu/ft2/day,573,907,1445,1879,2251,2525,2510,2256,1844,1308,824,552,1573
"Stockton, CA",PA,lb/in2,,,,,,,,,,,,,14.68
"Alamosa, CO",TAN,°F,0.5,7.4,18,25.4,34.8,41.4,47.7,46.7,37.4,25.4,12.7,2,24.9
"Alamosa, CO",TAX,°F,34.2,39.7,50.1,58.5,69.1,78,81.7,78.9,72.6,61.3,46.5,34.9,58.8
"Alamosa, CO",V,mi/hr,5.1,6.5,8.1,10.1,9.6,8.7,6.7,6.3,6.5,6.5,5.8,4.9,7.2
"Alamosa, CO",I,Btu/ft2/day,898,1191,1619,1987,2266,2427,2269,1992,1786,1397,1023,798,1638
"Alamosa, CO",PA,lb/in2,,,,,,,,,,,,,11.2
"Colorado Springs, CO",TAN,°F,18.8,20.9,27.1,34.1,43.8,52.2,57.8,56.4,47.9,36.8,26,19.4,36.8
"Colorado Springs, CO",TAX,°F,42.6,45,51.9,58.6,68.8,78.1,84.1,80.9,74.2,62.6,50.1,42.5,61.6
"Colorado Springs, CO",V,mi/hr,8.7,9.4,10.3,11.6,10.7,10.1,8.9,8.5,8.9,9.4,8.7,8.9,9.6
"Colorado Springs, CO",I,Btu/ft2/day,843,1093,1467,1794,2012,2182,2108,1884,1667,1275,899,742,1497
"Colorado Springs, CO",PA,lb/in2,,,,,,,,,,,,,11.78
"Denver, CO",TAN,°F,19.2,21.7,28.2,34.8,44.7,53.2,60.4,58.7,49.6,37.7,26.7,19.6,37.9
"Denver, CO",TAX,°F,42.9,45.7,53.7,60.1,70.6,80.9,88,85.2,77.3,64,51.1,43,63.5
"Denver, CO",V,mi/hr,9.2,9.2,10.3,11,10.1,9.6,9.2,8.9,8.9,9.2,8.9,9.2,9.4
"Denver, CO",I,Btu/ft2/day,764,1052,1463,1779,2049,2275,2213,1941,1658,1216,817,664,1491
"Denver, CO",PA,lb/in2,,,,,,,,,,,,,12.08
"Grand Junction, CO",TAN,°F,19.3,25.9,32.7,39.5,48.8,57.9,65.2,62.8,53.4,41.3,28.8,19.9,41.3
"Grand Junction, CO",TAX,°F,37.4,45.3,56.5,64.4,76.2,86.9,93.4,89.3,79.9,66,49.9,38,65.3
"Grand Junction, CO",V,mi/hr,5.4,6.5,7.8,8.9,9.2,9.6,9.4,8.9,8.5,7.6,6,5.4,7.8
"Grand Junction, CO",I,Btu/ft2/day,739,1039,1522,1876,2211,2434,2339,2020,1721,1281,874,662,1560
"Grand Junction, CO",PA,lb/in2,,,,,,,,,,,,,12.34
"Limon, CO",TAN,°F,12.4,15.2,22,29.2,39.4,49.3,54.8,53.9,43.7,31.6,19.9,12.7,32
"Limon, CO",TAX,°F,41.7,44.2,52.7,59.5,69.7,79.6,86.2,82.7,75.8,63.4,49.6,41.8,62.2
"Limon, CO",V,mi/hr,8.7,9.4,10.7,11.9,11,10.1,9.2,8.7,8.9,9.4,8.9,8.9,9.6
"Limon, CO",I,Btu/ft2/day,797,1066,1466,1773,2074,2301,2267,2003,1712,1264,860,693,1523
"Limon, CO",PA,lb/in2,,,,,,,,,,,,,12.02
"Pueblo, CO",TAN,°F,15.3,18.5,26.5,34.8,45.2,53.6,59.6,58.3,48.3,35.1,23.4,15.9,36.2
"Pueblo, CO",TAX,°F,47.2,50.8,58.9,66.1,76.7,86.3,92.3,88.8,81.4,68.9,55.1,46.8,68.3
"Pueblo, CO",V,mi/hr,6.7,7.4,8.5,9.8,8.9,8.7,8.1,7.4,7.4,7.4,6.5,6.5,7.8
"Pueblo, CO",I,Btu/ft2/day,862,1144,1557,1897,2197,2399,2356,2093,1783,1344,950,779,1613
"Pueblo, CO",PA,lb/in2,,,,,,,,,,,,,12.4
"Bridgeport, CT",TAN,°F,24.4,25.9,32.1,41.8,51.1,61.4,67,66.6,59.2,47.4,38.9,29.5,45.4
"Bridgeport, CT",TAX,°F,37.2,39.1,46.3,57.1,66.8,76.4,81.4,80.4,73.7,62.7,52.4,42.1,59.6
"Bridgeport, CT",V,mi/hr,9.8,10.1,10.3,9.6,8.9,7.8,7.6,7.8,8.7,9.2,9.4,9.8,9.2
"Bridgeport, CT",I,Btu/ft2/day,560,847,1156,1490,1750,1862,1904,1685,1320,948,621,501,1220
"Bridgeport, CT",PA,lb/in2,,,,,,,,,,,,,14.69
"Hartford, CT",TAN,°F,19.4,21.4,28.8,39.2,48.3,58.4,63.3,61.9,53.9,42.2,34.1,24.6,41.3
"Hartford, CT",TAX,°F,34.4,37.5,46.7,60.2,70.4,79.1,83.6,82.2,74.4,62.3,50.8,39.5,60.1
"Hartford, CT",V,mi/hr,8.5,8.9,9.4,8.9,8.1,6.9,6.5,6.3,6.7,7.4,7.6,8.3,7.8
"Hartford, CT",I,Btu/ft2/day,560,814,1133,1453,1700,1797,1833,1622,1289,905,582,482,1181
"Hartford, CT",PA,lb/in2,,,,,,,,,,,,,14.61
"Wilmington_DE, DE",TAN,°F,26.3,27.2,34.3,43.8,53,63.2,67.9,66.9,58.9,46.8,38.4,30.1,46.4
"Wilmington_DE, DE",TAX,°F,40.5,42.7,51.6,63.1,72.1,80.9,85.1,83.9,76.8,65.5,55,44.7,63.5
"Wilmington_DE, DE",V,mi/hr,9.4,9.8,10.1,9.6,8.3,7.6,7.4,6.9,7.8,7.6,8.5,8.9,8.5
"Wilmington_DE, DE",I,Btu/ft2/day,629,911,1185,1528,1786,1909,1916,1680,1366,1016,678,556,1264
"Wilmington_DE, DE",PA,lb/in2,,,,,,,,,,,,,14.65
"Daytona Beach, FL",TAN,°F,49,50.6,55,59.8,66.4,72.1,73.7,74,73.2,66.9,57.7,52.3,62.5
"Daytona Beach, FL",TAX,°F,68.4,69.9,74.2,78.8,84.5,87.7,89.5,88.8,86.3,81.5,75.1,70.2,79.6
"Daytona Beach, FL",V,mi/hr,7.2,7.6,8.3,7.8,7.4,6.3,5.6,5.6,6.7,7.4,6.9,6.7,6.9
"Daytona Beach, FL",I,Btu/ft2/day,1018,1215,1579,1931,2049,1893,1911,1767,1518,1296,1063,916,1513
"Daytona Beach, FL",PA,lb/in2,,,,,,,,,,,,,14.68
"Fort Myers, FL",TAN,°F,54.4,56.1,59.8,64,69.3,73.8,75,75.4,74.7,69.4,61.8,56.7,65.9
"Fort Myers, FL",TAX,°F,74.2,76.2,79.6,83.5,88.5,90.3,90.7,90.8,89.3,85.8,80.2,75.5,83.7
"Fort Myers, FL",V,mi/hr,7.4,7.8,8.3,8.1,7.2,6.3,5.4,5.6,6.3,7.2,7.4,7.2,6.9
"Fort Myers, FL",I,Btu/ft2/day,1150,1426,1718,1993,2075,1880,1805,1740,1533,1415,1205,1054,1583
"Fort Myers, FL",PA,lb/in2,,,,,,,,,,,,,14.68
"Gainesville, FL",TAN,°F,43.4,45.5,50.2,55.6,63.2,69.8,72.1,72.1,69.4,61.1,51.4,45.5,58.3
"Gainesville, FL",TAX,°F,66.3,69,74.4,80,86.4,89,90.2,89.4,86.6,80.7,73.6,67.6,79.4
"Gainesville, FL",V,mi/hr,6.5,6.9,7.4,7.2,6.7,5.6,5.1,4.9,5.8,5.8,6,5.8,6.3
"Gainesville, FL",I,Btu/ft2/day,970,1213,1549,1890,2019,1865,1863,1704,1484,1276,1063,887,1482
"Gainesville, FL",PA,lb/in2,,,,,,,,,,,,,14.62
"Jacksonville, FL",TAN,°F,42.9,45.1,50.1,55.5,63.7,70.5,72.9,73.1,70.1,61,50.8,44.4,58.3
"Jacksonville, FL",TAX,°F,64.5,67.2,72.7,78.3,84.8,88.7,91,89.6,85.8,79.6,72.2,65.4,78.3
"Jacksonville, FL",V,mi/hr,7.2,7.4,8.1,7.6,7.2,6.5,5.8,5.8,6.5,6.3,6.3,6.5,6.7
"Jacksonville, FL",I,Btu/ft2/day,937,1186,1522,1890,2035,1911,1948,1756,1466,1237,1021,846,1480
"Jacksonville, FL",PA,lb/in2,,,,,,,,,,,,,14.68
"Key West, FL",TAN,°F,64.9,66.2,68.7,72.2,76.2,79.4,80.6,80.5,79.2,76.5,71.8,67.1,73.6
"Key West, FL",TAX,°F,74.4,75.7,78.2,81,84.6,87.7,89,89.4,87.7,84.5,79.6,75.7,82.3
"Key West, FL",V,mi/hr,11,10.5,11,11.2,9.8,8.7,8.5,8.3,8.7,10.1,11.2,10.5,10.1
"Key West, FL",I,Btu/ft2/day,1206,1462,1805,2069,2131,2035,2041,1943,1667,1465,1240,1098,1680
"Key West, FL",PA,lb/in2,,,,,,,,,,,,,14.69
"Miami, FL",TAN,°F,61.2,62.6,65.8,69.4,73.9,76.6,78.1,78.2,77.3,74.3,68.4,63.6,70.8
"Miami, FL",TAX,°F,75.5,77,79.6,82.4,86.2,88.4,89.9,90,88.2,85.1,80.5,76.9,83.3
"Miami, FL",V,mi/hr,8.5,8.5,9.6,9.8,8.7,7.4,7.2,6.9,7.4,8.3,8.5,8.1,8.3
"Miami, FL",I,Btu/ft2/day,1118,1346,1625,1875,1938,1737,1813,1701,1456,1309,1113,1015,1504
"Miami, FL",PA,lb/in2,,,,,,,,,,,,,14.68
"Orlando, FL",TAN,°F,50.5,52.5,56.5,61,67.3,72.4,74,74.4,73.2,66.8,58.7,52.9,63.4
"Orlando, FL",TAX,°F,70.7,72.8,77.2,81.7,87.2,89.5,90.8,90.5,88.3,83.4,77,71.8,81.8
"Orlando, FL",V,mi/hr,8.3,8.7,9.2,8.7,8.1,6.9,6.3,6.5,7.2,7.8,8.1,7.8,7.8
"Orlando, FL",I,Btu/ft2/day,1043,1257,1588,1904,2021,1849,1854,1726,1506,1328,1096,944,1510
"Orlando, FL",PA,lb/in2,,,,,,,,,,,,,14.65
"Pensacola, FL",TAN,°F,43.5,46,52,58.6,67,73.3,75.2,74.8,71.1,61.1,51,44.6,59.9
"Pensacola, FL",TAX,°F,61,63.9,69.8,75.6,83.4,88.4,89.9,89.4,86.6,79,70.1,62.6,76.6
"Pensacola, FL",V,mi/hr,8.7,8.7,9.2,9.2,8.3,7.2,6.5,6.3,7.2,7.4,7.8,8.1,7.8
"Pensacola, FL",I,Btu/ft2/day,890,1144,1504,1813,2038,2019,1911,1783,1594,1327,1040,830,1491
"Pensacola, FL",PA,lb/in2,,,,,,,,,,,,,14.63
